coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,rain_1h,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,message
15.2832,-4.2658,804.0,Clouds,overcast clouds,04d,stations,299.35,299.35,299.35,299.35,1013.0,78.0,1013.0,981.0,7000.0,3.09,290.0,,100.0,1727335130.0,1.0,2024.0,CG,1727325980.0,1727369630.0,3600.0,2260535.0,Brazzaville,200,,,,,,
-59.6167,13.1,500.0,Rain,light rain,10n,stations,301.42,306.46,301.42,301.42,1010.0,83.0,1010.0,1007.0,10000.0,6.69,100.0,0.46,40.0,1727335130.0,1.0,8772.0,BB,1727344054.0,1727387499.0,-14400.0,3374036.0,Bridgetown,200,,,,,,
153.0281,-27.4679,803.0,Clouds,broken clouds,04d,stations,296.82,297.12,295.53,297.69,1011.0,72.0,1011.0,1006.0,10000.0,1.34,347.0,,58.0,1727335059.0,2.0,2092148.0,AU,1727292775.0,1727336734.0,36000.0,2174003.0,Brisbane,200,3.13,,,,,
4.3488,50.8504,803.0,Clouds,broken clouds,04d,stations,287.99,287.83,287.49,288.51,991.0,88.0,991.0,984.0,10000.0,5.14,210.0,,75.0,1727335130.0,1.0,1227.0,BE,1727328927.0,1727371930.0,7200.0,2800866.0,Brussels,200,,,,,,
26.1063,44.4323,800.0,Clear,clear sky,01d,stations,295.28,295.32,294.2,295.38,1016.0,68.0,1016.0,1006.0,10000.0,3.6,260.0,,0.0,1727335130.0,2.0,2032494.0,RO,1727323654.0,1727366762.0,10800.0,683506.0,Bucharest,200,,,,,,
19.0399,47.498,803.0,Clouds,broken clouds,04d,stations,290.96,290.86,290.83,291.95,1010.0,79.0,1010.0,989.0,10000.0,6.69,170.0,,75.0,1727334980.0,2.0,2009313.0,HU,1727325372.0,1727368435.0,7200.0,3054643.0,Budapest,200,11.83,,,,,
-58.3772,-34.6132,800.0,Clear,clear sky,01n,stations,284.42,283.67,283.72,285.34,1022.0,79.0,1022.0,1021.0,10000.0,11.18,100.0,,0.0,1727335130.0,2.0,2020613.0,AR,1727343393.0,1727387565.0,-10800.0,3435910.0,Buenos Aires,200,0.0,,,,,
29.3644,-3.3822,803.0,Clouds,broken clouds,04d,stations,301.99,301.77,301.99,301.99,1014.0,42.0,1014.0,927.0,10000.0,0.23,189.0,,75.0,1727335130.0,,,BI,1727322607.0,1727366246.0,7200.0,425378.0,Bujumbura,200,2.51,,,,,
29.0833,40.1667,802.0,Clouds,scattered clouds,03d,stations,296.57,296.09,296.57,296.57,1017.0,43.0,1017.0,956.0,10000.0,0.77,329.0,,47.0,1727335131.0,,,TR,1727322912.0,1727366075.0,10800.0,750268.0,Bursa,200,0.78,,,,,
129.0403,35.1028,803.0,Clouds,broken clouds,04d,stations,300.14,301.29,300.14,300.14,1012.0,61.0,1012.0,1007.0,10000.0,3.09,200.0,,75.0,1727335131.0,1.0,8086.0,KR,1727298881.0,1727342139.0,32400.0,1838524.0,Busan,200,,,,,,
31.2497,30.0626,802.0,Clouds,scattered clouds,03d,stations,299.57,299.57,298.94,299.57,1013.0,61.0,1013.0,1007.0,10000.0,7.72,50.0,,40.0,1727335131.0,1.0,2514.0,EG,1727322335.0,1727365613.0,10800.0,360630.0,Cairo,200,,,,,,
-76.5225,3.4372,801.0,Clouds,few clouds,02n,stations,295.75,296.1,293.81,295.75,1013.0,78.0,1013.0,871.0,10000.0,2.24,30.0,,20.0,1727335131.0,2.0,2097738.0,CO,1727348055.0,1727391611.0,-18000.0,3687925.0,Santiago de Cali,200,0.0,,,,,
120.9841,14.6571,801.0,Clouds,few clouds,02d,stations,306.49,313.49,305.91,307.08,1008.0,65.0,1008.0,1011.0,10000.0,4.12,300.0,,20.0,1727335131.0,2.0,2008256.0,PH,1727300717.0,1727344169.0,28800.0,1692193.0,Caloocan,200,,,,,,
-13.6878,9.535,501.0,Rain,moderate rain,10d,stations,297.52,298.39,297.52,297.52,1014.0,91.0,1014.0,1013.0,10000.0,2.15,194.0,1.68,100.0,1727335131.0,,,GN,1727333012.0,1727376501.0,0.0,2422488.0,Camayenne,200,3.1,,,,,
149.1281,-35.2835,803.0,Clouds,broken clouds,04d,stations,284.12,282.58,282.65,285.52,1021.0,50.0,1021.0,944.0,10000.0,6.69,100.0,,75.0,1727335126.0,1.0,9588.0,AU,1727293634.0,1727337746.0,36000.0,2172517.0,Canberra,200,,,,,,
18.4232,-33.9258,800.0,Clear,clear sky,01d,stations,288.63,288.3,288.3,288.66,1021.0,79.0,1021.0,1020.0,10000.0,1.03,0.0,,0.0,1727335131.0,2.0,2073005.0,ZA,1727324987.0,1727369116.0,7200.0,3369157.0,Cape Town,200,,,,,,
-66.8792,10.488,802.0,Clouds,scattered clouds,03n,stations,295.47,296.08,293.82,295.47,1013.0,89.0,1013.0,895.0,10000.0,0.51,290.0,,34.0,1727335131.0,2.0,52961.0,VE,1727345782.0,1727389256.0,-14400.0,3646738.0,Caracas,200,,,,,,
-7.6192,33.5928,803.0,Clouds,broken clouds,04d,stations,296.11,296.5,296.11,296.34,1018.0,78.0,1018.0,1010.0,6000.0,1.03,0.0,,75.0,1727335131.0,2.0,47681.0,MA,1727331687.0,1727374913.0,3600.0,2553604.0,Casablanca,200,,,,,,
-61.0061,13.9957,801.0,Clouds,few clouds,02n,stations,300.13,299.05,300.13,300.19,1010.0,13.0,1010.0,1003.0,10000.0,5.14,86.0,,21.0,1727335131.0,2.0,2022312.0,LC,1727344393.0,1727387827.0,-14400.0,3576812.0,Castries,200,7.54,,,,,
-52.3333,4.9333,801.0,Clouds,few clouds,02n,stations,296.17,297.14,296.17,296.17,1010.0,100.0,1010.0,1009.0,9000.0,0.0,0.0,,23.0,1727335132.0,1.0,8669.0,GF,1727342259.0,1727385799.0,-10800.0,3382160.0,Cayenne,200,,,,,,
-64.9307,18.3419,500.0,Rain,light rain,10n,stations,301.0,305.32,301.0,301.0,1012.0,83.0,1012.0,1012.0,10000.0,2.57,80.0,0.44,0.0,1727335132.0,1.0,8786.0,VI,1727345359.0,1727388744.0,-14400.0,4795467.0,Charlotte Amalie,200,,,,,,
104.0667,30.6667,802.0,Clouds,scattered clouds,03d,stations,306.09,308.24,306.09,306.09,1006.0,46.0,1006.0,948.0,10000.0,4.0,220.0,,40.0,1727335132.0,1.0,9674.0,CN,1727304855.0,1727348149.0,28800.0,1815286.0,Chengdu,200,,,,,,
